1.668079,1.394203,3.901029,0.776010
1.416983,1.382537,3.511978,0.679880
1.316988,1.371502,3.356475,0.642455
1.274356,1.356828,3.293330,0.640611
1.235096,1.342556,3.234649,0.637066
1.132354,1.336096,3.113839,0.627269
1.080547,1.351995,3.073381,0.624183
1.061758,1.352846,3.051405,0.621237
1.056348,1.341872,3.031286,0.618702
1.013012,1.344523,2.983654,0.612555
1.014561,1.340900,2.979216,0.610269
0.999708,1.345647,2.970082,0.612188
0.978678,1.350377,2.954708,0.614037
0.960824,1.353213,2.936397,0.610827
0.927063,1.348824,2.893976,0.606894
0.913079,1.352676,2.883210,0.607290
0.965993,1.348035,2.937347,0.612743
0.865930,1.353750,2.829880,0.600873
0.883271,1.359078,2.853928,0.602252
0.844576,1.361035,2.814220,0.599212
0.831034,1.361978,2.801312,0.599146
0.824459,1.363237,2.795235,0.598657
0.851126,1.366659,2.827481,0.601051
0.810006,1.362711,2.778642,0.597650
0.822306,1.363556,2.788831,0.594551
0.800851,1.364647,2.769235,0.595395
0.791156,1.369009,2.766490,0.598231
0.786713,1.365344,2.760119,0.600036
0.782898,1.366017,2.755085,0.598540
0.758633,1.364944,2.726345,0.595042
0.744014,1.366214,2.713201,0.595197
0.734436,1.363037,2.697442,0.592588
0.740499,1.363678,2.704319,0.592621
0.739423,1.367807,2.710275,0.595764
0.741276,1.371101,2.716736,0.597300
0.716942,1.372908,2.692596,0.595783
0.709724,1.365565,2.678289,0.596193
0.726156,1.370431,2.699206,0.595608
0.705004,1.363820,2.670856,0.595190
0.689502,1.363383,2.653559,0.593721
0.692691,1.365680,2.657581,0.592349
0.678778,1.365956,2.645141,0.593660
0.682685,1.367760,2.650542,0.593542
0.698662,1.361399,2.660625,0.593552
0.708033,1.365720,2.677646,0.597193
0.674723,1.367348,2.644256,0.595578
0.690982,1.363797,2.656396,0.595116
0.659880,1.367246,2.627785,0.594219
0.655207,1.369452,2.623234,0.592055
0.654414,1.360939,2.614803,0.593155
0.664542,1.369877,2.634346,0.593840
0.674099,1.361998,2.635542,0.593271
0.669432,1.360844,2.632311,0.595797
0.647211,1.371172,2.620461,0.596063
0.641519,1.363204,2.604033,0.593247
0.633294,1.365260,2.599349,0.594788
0.651882,1.370744,2.624594,0.595920
0.627201,1.366189,2.595207,0.595766
0.634633,1.366176,2.604131,0.597519
0.621825,1.362796,2.584953,0.594517
0.607724,1.368664,2.577279,0.595135
0.617797,1.367431,2.586064,0.595128
0.612459,1.367680,2.578363,0.592576
0.596159,1.364703,2.558616,0.592084
0.596263,1.364534,2.559484,0.592902
0.584746,1.364614,2.546342,0.591356
0.600426,1.363154,2.561881,0.592729
0.586361,1.364018,2.546726,0.590711
0.595870,1.366546,2.559302,0.591307
0.578215,1.366184,2.541608,0.591601
